tweet.id,tweet.created_at,tweet.text,tweet.user.name,tweet.user.screen_name,tweet.user.location,tweet.user.id,tweet.user.followers_count,tweet.user.friends_count,tweet.user.favourites_count,tweet.user.description
1256600290884755459,2020-05-02 15:03:50,"RT @_US_Patriot: 🧐🤔 Hmmm Covid deaths are now at 37,308????  Why did they go down?  Oh wait is Pneumonia worse?!  🙄  Covid scam! #COVID #Co…",Sheila Johnsom,JohnsomSheila,"Minneapolis, MN",1151487857686667265,487,536,1514,"Hard working Norwegian Conservative from Minnesota.  2 awesome children.  lucky grandma now!  work hard, love Jesus, God, and country."
1256600282303066112,2020-05-02 15:03:48,"RT @AlexBerenson: Fun fact from the @cdcgpv surveillance data: of 4,000 #COVID hospitalizations for which they provide detailed age data, 2…",Mother on the Verge,mother_verge,,1173659989820362752,658,454,12137,"God is Love. Truth over Comfort. Social Justice, Health Freedom Fighter. Old woman in training. On the verge of something... hopefully not a nervous breakdown."
1256600280126423040,2020-05-02 15:03:47,On thing for certain that has come out of our #COVID  is Fitz is living pumping balls up. Thanks @TorrxSoccer https://t.co/7sCSLJCNdI,Dawn Crow,bootit05,"Stevens Point, WI",59124776,627,576,2687,"soccer chat episode 005, Soccer Player, Educator, adventurer, and loyal friend; Head Soccer Coach UWSP, Duktig Brand FC Team Member UNC 91-94"
1256600278155042817,2020-05-02 15:03:47,"RT @CBSNewYork: WATCH NOW LIVE: @NYGov Cuomo makes announcement from MTA maintenance facility in Queens, NYC: https://t.co/SSowDKTfFa #coro…",Dana Tyler,DanaTylerTV,"New York, NY",2155460838,7482,374,4319,"Anchor, CBS2 News at 6p & CBSN New York, our streaming local news service @CBSNewYork"
1256600269183422466,2020-05-02 15:03:45,"RT @HoneyFitz93: The CDC JUST LOWERED the Provisional Death Counts for Coronavirus Disease (COVID-19) DOWN TO 37,308 from estimates as high…",trumpeteer,Agrant3595Grant,"South, USA ",1104956239,8037,7030,80660,"🇺🇸Nationalist🇺🇸,  MOM, No Dates ❤️ my country & respect my President, #MAGA, #VoteRED ❌, FB all Pats, NO LIBS❗️#KAG #Trump2020 #FakeNews #CNNisTrash"
1256600267308429312,2020-05-02 15:03:44,Gujarat is a case study in itself which proves that only &amp; only countrywide lockdown had no effect in fighting… https://t.co/ZyGfEtTQwI,S Rajanish,rajanish4u,New Delhi,103233356,158,417,1509,"A common man of India. Malayalee @heart. Keen follower of Indian Politics, Indian Economy & Indian Cricket. Have connections with Bhilai, IIT-BHU & Metallurgy"
1256600260941680642,2020-05-02 15:03:43,RT @ccdocle: A big #ThankYou to @Sysco​! Yesterday morning our Bishop Cosgrove Center received a donation of 100 pantry items from the food…,St.Aug LearningCntr,StAugLearnCntr,"Cleveland, Ohio",612836322,1297,1993,12621,Adult literacy program providing #GED test preparation at St. Augustine Church in the Tremont neighborhood of #CLE Mondays 6-8 pm & Tuesdays 5-7 pm
1256600260731973637,2020-05-02 15:03:43,We might be *past the peak* but it still hasn't flattened my curves.. #covid,Aire,aire4000,,1238100449913376770,19,210,489,Goofy gal ~ #vss365 #meditation #Dyslexic #Autism #QueenFan
1256600258080997376,2020-05-02 15:03:42,RT @ChennaiRains: The #Chennai #Covid Story. After keeping things under control for long suddenly last week we seem to have dropped the bal…,govind.kannan,iniyamoneythan,CHENNAI,323756346,3195,3064,28337,
1256600252158705666,2020-05-02 15:03:41,RT @CMOWales: If your child is unwell please don’t delay calling your GP or using emergency services.   The NHS may be working differently…,Sarah Harries,SarahEMHarries,"Cardiff, Wales",852253107241267200,236,80,1978,"Obstetric & Transplant Anaesthetist, RCoA Regional Adviser & Head of School Anaesthesia/Critical Care, Wales. Incredibly proud Mum"
1256600251093389318,2020-05-02 15:03:41,RT @BJP4Karnataka: This is how the residents of an Apartment in Namma Bengaluru honoured Dr Vijayashree who returned home after treating #C…,सोमेश🇮🇳,mrsomeshsaxena,भारत,474887807,891,4770,16111,"देश हित सर्वोपरि ,  Transcendental Meditation isn't a religious technique. RTs r not endorsement.  अनुभव : Poultry Hatchery, Building Construction, Securities."
1256600247737843712,2020-05-02 15:03:40,"RT @JamesOKeefeIII: “To be honest with you, all of the death certificates, they’re writing #COVID on all the death certificates. Whether th…",JustAGirl,JustAGirlIn415,,827002972219387905,1303,1913,89366,Conservative feminist.
1256600246471163906,2020-05-02 15:03:39,RT @theintjnurse: This #covid-19 situation makes me realize how quickly our lives can be taken away from us... and that there’s only 1 eart…,⟭⟬ тrιѕн⁷ ⟭⟬ •ɴsғʀ•,thereal_yoongi,genius lab ♨️,922067296872382465,407,936,15753,❝ɪ'ᴍ ꜱᴏʀʀʏ ᴛʜᴀᴛ ʏᴏᴜʀ ʀᴀᴘ ꜱᴜᴄᴋꜱ ᴄᴏᴍᴘᴀʀᴇᴅ ᴛᴏ ᴍɪɴᴇ.❞ -ᴅʀᴇᴀᴍs ᴏғ ᴡᴀᴛᴄʜɪɴɢ ᴏᴜᴛʀᴏ : ᴛᴇᴀʀ ʟɪᴠᴇ-  -----------------#agustd2------------------
